Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,999950.4155681387
2005-02-02,1002658.2263613113
2005-02-03,997635.7367685086
2005-02-04,1002248.0147940872
2005-02-07,1003381.1972408218
2005-02-08,1002507.3445474609
2005-02-09,1004554.1572366673
2005-02-10,1007189.4529419474
2005-02-11,1010580.479284337
2005-02-14,1017743.5910653203
2005-02-15,1017413.3822471832
2005-02-16,1014360.7029975629
2005-02-17,1015012.2460906783
2005-02-18,1013973.5982182309
2005-02-22,1019613.0911077468
2005-02-23,1017695.6617187558
2005-02-24,1018976.8976518332
2005-02-25,1023950.8426808271
2005-02-28,1023974.0733093738
2005-03-01,1020325.4265133659
2005-03-02,1019594.3519102151
2005-03-03,1018474.4038429438
2005-03-04,1028185.8875810604
2005-03-07,1029506.3580560618
2005-03-08,1031772.6928304482
2005-03-09,1025973.9909109903
2005-03-10,1026420.1786323502
2005-03-11,1026829.317882078
2005-03-14,1021477.2593783613
2005-03-15,1019885.6071268482
2005-03-16,1022853.2537198928
2005-03-17,1020413.5794889214
2005-03-18,1019068.2643795186
2005-03-21,1010331.6547167408
2005-03-22,1003479.061211887
2005-03-23,996346.9640967608
2005-03-24,996730.5120952798
2005-03-28,995812.3214693153
2005-03-29,994132.6735822406
2005-03-30,997973.4471843794
2005-03-31,1003633.8506531846
2005-04-01,1003508.6040974078
2005-04-04,999209.1289951247
2005-04-05,1000346.555377777
2005-04-06,1003249.4533752673
2005-04-07,1004044.6044400344
2005-04-08,1004368.1628845502
2005-04-11,1007122.4859130728
2005-04-12,1009061.9111905746
2005-04-13,1009291.4709980815
2005-04-14,999647.9332785822
2005-04-15,998923.7073887999
2005-04-18,998135.7751833529
2005-04-19,1009648.9090427752
2005-04-20,1008977.1161838599
2005-04-21,1006345.6728557404
2005-04-22,1011535.5835289658
2005-04-25,1013978.4000476105
2005-04-26,1015084.3562948564
2005-04-27,1010648.046983368
2005-04-28,1008417.2772244604
2005-04-29,1013133.9943886155
2005-05-02,1011139.5062609953
2005-05-03,1009976.0482245611
2005-05-04,1014511.2804305934
2005-05-05,1016148.7727488163
2005-05-06,1011722.2366502844
2005-05-09,1011776.4907711865
2005-05-10,1011141.1384005218
2005-05-11,1012504.8600854455
2005-05-12,1005689.5344515961
2005-05-13,1002864.2999167053
2005-05-16,1002020.8386343154
2005-05-17,1002821.0113618397
2005-05-18,1009393.9106202852
2005-05-19,1010804.0824880563
2005-05-20,1006899.7772929224
2005-05-23,1011201.5349493749
2005-05-24,1013572.1433478618
2005-05-25,1012253.5225723106
2005-05-26,1011256.3258879937
2005-05-27,1015413.9327656175
2005-05-31,1014553.3064137034
2005-06-01,1018901.8594835037
2005-06-02,1026993.1108225103
2005-06-03,1025332.879883601
