Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,1001014.0853526954
2005-02-02,1004263.3246623656
2005-02-03,1000769.5250202868
2005-02-04,1006720.4797675022
2005-02-07,1009160.880123746
2005-02-08,1008819.1778122879
2005-02-09,1009280.02324989
2005-02-10,1013033.7670947561
2005-02-11,1016990.3319443438
2005-02-14,1022861.149917246
2005-02-15,1022182.0068119058
2005-02-16,1020097.0974344155
2005-02-17,1019860.6182280653
2005-02-18,1019016.9558551329
2005-02-22,1021022.7223481114
2005-02-23,1020788.510624061
2005-02-24,1023290.2555810193
2005-02-25,1029148.6225008374
2005-02-28,1028898.7460215006
2005-03-01,1028052.1178114596
2005-03-02,1027684.4523198762
2005-03-03,1026996.2387425707
2005-03-04,1035373.3609431204
2005-03-07,1036735.8640571692
2005-03-08,1036998.1040481887
2005-03-09,1031855.8303353799
2005-03-10,1033083.5365315154
2005-03-11,1031085.3527855468
2005-03-14,1029151.1901949241
2005-03-15,1027056.4487582435
2005-03-16,1028720.2185207974
2005-03-17,1026806.6990397121
2005-03-18,1025808.7141650729
2005-03-21,1020729.4525528371
2005-03-22,1013931.6912710697
2005-03-23,1009486.6447015866
2005-03-24,1008135.1958225288
2005-03-28,1007385.1483767893
2005-03-29,1003556.8099923774
2005-03-30,1007652.2722661439
2005-03-31,1012458.4363418862
2005-04-01,1012487.2748128154
2005-04-04,1010745.8520138584
2005-04-05,1012068.5667902988
2005-04-06,1014992.6872651775
2005-04-07,1015224.3184244923
2005-04-08,1013853.7719098899
2005-04-11,1015652.5470879012
2005-04-12,1018580.2031363634
2005-04-13,1017548.5392596566
2005-04-14,1011393.868961558
2005-04-15,1010154.6436461947
2005-04-18,1007768.2972185195
2005-04-19,1015866.4777487809
2005-04-20,1014527.9122701301
2005-04-21,1013678.2483394259
2005-04-22,1017783.9192669513
2005-04-25,1019436.1648162301
2005-04-26,1017875.6487010395
2005-04-27,1018084.5795516631
2005-04-28,1017531.6947582866
2005-04-29,1021553.3712895722
2005-05-02,1021270.9745812857
2005-05-03,1020454.986103238
2005-05-04,1023616.5221179675
2005-05-05,1025114.0767123733
2005-05-06,1021695.0825157582
2005-05-09,1021918.1031933419
2005-05-10,1021789.403546239
2005-05-11,1023345.1079898803
2005-05-12,1018207.7870287342
2005-05-13,1016810.1630302565
2005-05-16,1016604.0293066021
2005-05-17,1017314.2786494702
2005-05-18,1021981.7836023357
2005-05-19,1023975.0673269778
2005-05-20,1021173.3668471754
2005-05-23,1026555.3896492737
2005-05-24,1028544.818013097
2005-05-25,1025561.1945537057
2005-05-26,1025198.3861575957
2005-05-27,1028361.4922028375
2005-05-31,1029723.2203698804
2005-06-01,1034532.2863708325
2005-06-02,1038172.1492138891
2005-06-03,1035407.3582842904
2005-06-06,1038688.2400227586
2005-06-07,1039843.3998520852
2005-06-08,1038852.6543647663
2005-06-09,1036252.8128638599
2005-06-10,1034613.5991813008
2005-06-13,1033300.6678768343
2005-06-14,1032077.0335564651
2005-06-15,1034283.5278055137
2005-06-16,1039770.4279571663
2005-06-17,1043469.6943029431
2005-06-20,1041886.8442030107
2005-06-21,1044699.496910546
2005-06-22,1048669.7949290872
2005-06-23,1046272.5055017996
2005-06-24,1044463.9774328836
2005-06-27,1043990.7035150237
2005-06-28,1042501.9567265006
2005-06-29,1041787.6060889945
2005-06-30,1040556.446262303
2005-07-01,1034826.6274660743
2005-07-05,1033026.112947698
2005-07-06,1032123.0811745723
2005-07-07,1033169.6306551978
2005-07-08,1032626.153956109
2005-07-11,1036865.8893094682
2005-07-12,1038334.5242633583
2005-07-13,1035085.3021737091
2005-07-14,1035126.5673750094
2005-07-15,1035996.6368760447
2005-07-18,1034806.2612636347
2005-07-19,1034648.7375205441
2005-07-20,1037015.4997983944
2005-07-21,1037902.4445086521
2005-07-22,1040024.1761698843
2005-07-25,1038040.7747306915
