Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,1000109.8251610156
2005-02-02,1001595.0618910376
2005-02-03,998110.0897257318
2005-02-04,1002751.7865917687
2005-02-07,1003873.6595781969
2005-02-08,1003429.3011469881
2005-02-09,1005404.2234442617
2005-02-10,1006385.8269122634
2005-02-11,1007485.9708730412
2005-02-14,1010714.9146513782
2005-02-15,1009859.2759098528
2005-02-16,1007374.6483687768
2005-02-17,1006899.9860201374
2005-02-18,1004933.5656805696
2005-02-22,1005430.0041419027
2005-02-23,1004986.8478407632
2005-02-24,1004967.6991508857
2005-02-25,1008041.7756938189
2005-02-28,1006464.1647539784
2005-03-01,1005431.8751345624
2005-03-02,1005189.1948795064
2005-03-03,1004558.229572784
2005-03-04,1010583.6118921948
2005-03-07,1011482.4812101856
2005-03-08,1010056.8723378269
2005-03-09,1004136.6409697195
2005-03-10,1006107.057570364
2005-03-11,1003239.1469538742
2005-03-14,1002117.3294163479
2005-03-15,1000914.0809301456
2005-03-16,1003089.6611439345
2005-03-17,1003206.4024403085
2005-03-18,1001993.1769353304
2005-03-21,998894.4046262238
2005-03-22,993217.7998573235
2005-03-23,990290.0960820673
2005-03-24,989860.8523773458
2005-03-28,988996.4510622693
2005-03-29,988040.196943963
2005-03-30,990600.9044593351
2005-03-31,995736.5588110064
2005-04-01,996663.4380312565
2005-04-04,995547.7139825042
2005-04-05,996134.2743987928
2005-04-06,998973.4489885996
2005-04-07,998051.2358796552
2005-04-08,996921.6824663205
2005-04-11,999180.3899037221
2005-04-12,1003109.9515188156
2005-04-13,1002518.8225292269
2005-04-14,999189.710375005
2005-04-15,1000928.988335109
2005-04-18,1000439.7835557371
2005-04-19,1006760.5306857281
2005-04-20,1005850.6289917585
2005-04-21,1002889.5084970223
2005-04-22,1006597.5301040026
2005-04-25,1007828.1969373774
2005-04-26,1006846.2113938945
2005-04-27,1007657.1459375669
2005-04-28,1009051.5658776037
2005-04-29,1011068.5830550605
2005-05-02,1010989.2879825247
2005-05-03,1010251.4998962053
2005-05-04,1013318.5580058242
2005-05-05,1015254.3600476146
2005-05-06,1010170.947765536
2005-05-09,1010185.3014677612
2005-05-10,1011563.989234172
