Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,1000096.4569335766
2005-02-02,1002585.6185888037
2005-02-03,998340.3296668484
2005-02-04,1003884.5778109832
2005-02-07,1005524.771015661
2005-02-08,1005030.4611094631
2005-02-09,1007341.4292379149
2005-02-10,1008464.3449434121
2005-02-11,1011119.3055854505
2005-02-14,1017693.9716520242
2005-02-15,1017105.5277640409
2005-02-16,1013769.6859520192
2005-02-17,1013797.1653155669
2005-02-18,1011937.715140567
2005-02-22,1016124.095483946
2005-02-23,1014662.4259202899
2005-02-24,1015850.9712069721
2005-02-25,1020532.9188213771
2005-02-28,1019698.4116814367
2005-03-01,1016498.4514369604
2005-03-02,1015646.0658758964
2005-03-03,1014731.2776139044
2005-03-04,1024188.1836190762
2005-03-07,1025744.132818852
2005-03-08,1026395.3009891681
2005-03-09,1019334.9555494281
2005-03-10,1020556.1358320871
2005-03-11,1019805.4785137868
2005-03-14,1015839.5793522297
2005-03-15,1014110.8904011283
2005-03-16,1016843.5945114081
2005-03-17,1015604.6726735752
2005-03-18,1013814.2873534771
2005-03-21,1006476.7094313462
2005-03-22,999687.6181263089
2005-03-23,993764.3715709405
2005-03-24,994386.2986778623
2005-03-28,993129.5758898401
2005-03-29,992076.1229069844
2005-03-30,996030.1017462144
2005-03-31,1001687.003041614
2005-04-01,1002333.9516152793
2005-04-04,998904.2533926893
2005-04-05,999536.008105426
2005-04-06,1002241.3078390834
2005-04-07,1002167.053752996
2005-04-08,1002448.3668862534
2005-04-11,1005487.2065627453
2005-04-12,1008649.7869071633
2005-04-13,1008472.4168525822
2005-04-14,1000560.6948461052
2005-04-15,1001569.8859699089
2005-04-18,1001422.7757662485
2005-04-19,1011765.6933834133
2005-04-20,1010827.9001298755
2005-04-21,1007527.2279513063
2005-04-22,1012683.4380890486
2005-04-25,1015154.2768477568
2005-04-26,1015802.6969376834
2005-04-27,1012737.5363878064
2005-04-28,1011948.6763738097
2005-04-29,1015523.2193543473
2005-05-02,1014186.1161170686
2005-05-03,1013233.0853454453
2005-05-04,1016581.9261382009
2005-05-05,1018233.8083724331
2005-05-06,1013258.9471618393
2005-05-09,1013482.2022361739
2005-05-10,1013947.8736391517
2005-05-11,1015497.5467215595
2005-05-12,1010462.8687631383
2005-05-13,1009068.096112657
2005-05-16,1008429.5614520649
2005-05-17,1009401.9087101745
2005-05-18,1015609.7546890735
2005-05-19,1016341.7763231167
2005-05-20,1013147.5544410325
2005-05-23,1017826.1830426644
2005-05-24,1020370.47633084
2005-05-25,1018430.3498564019
2005-05-26,1017485.985181477
2005-05-27,1020902.3184563488
2005-05-31,1021902.1741478072
2005-06-01,1027249.8222887453
2005-06-02,1034415.1601639987
2005-06-03,1031715.5883077049
2005-06-06,1034950.3089331216
2005-06-07,1036931.220767445
2005-06-08,1035556.8497541407
2005-06-09,1032372.9617678631
2005-06-10,1031623.9185676958
2005-06-13,1030470.697780287
2005-06-14,1028406.7396645099
2005-06-15,1030860.5924407543
2005-06-16,1039167.744694087
2005-06-17,1044111.9025435196
2005-06-20,1042386.0654084341
2005-06-21,1045742.3334143306
2005-06-22,1050116.0885960825
2005-06-23,1049132.251622287
2005-06-24,1048456.3006446391
2005-06-27,1049942.6963416915
2005-06-28,1045827.1473109624
2005-06-29,1046024.9678011044
2005-06-30,1046126.3300803164
2005-07-01,1037124.8927526681
2005-07-05,1031435.670672798
2005-07-06,1032491.282895819
2005-07-07,1033013.3524224521
2005-07-08,1031591.7125365111
2005-07-11,1037174.1290446408
2005-07-12,1038696.5219204511
2005-07-13,1035202.6359907014
2005-07-14,1033404.7683386849
2005-07-15,1033473.1186082984
2005-07-18,1031694.0127273368
2005-07-19,1032294.7020951617
2005-07-20,1036847.4640997632
2005-07-21,1036748.1563416462
2005-07-22,1039477.4909775051
2005-07-25,1036424.5141359956
2005-07-26,1034536.5292698079
2005-07-27,1036900.9961478384
2005-07-28,1044284.3792507091
2005-07-29,1042383.8845510327
2005-08-01,1044484.6951950829
2005-08-02,1046228.8302242667
2005-08-03,1052187.3442392037
2005-08-04,1050476.0319008916
2005-08-05,1044444.5827054352
2005-08-08,1043684.9621198389
2005-08-09,1046638.0737908328
2005-08-10,1051913.67163272
2005-08-11,1061405.8446738536
2005-08-12,1064930.9725243698
2005-08-15,1062264.3724816015
2005-08-16,1065050.333740405
2005-08-17,1058574.7185910933
2005-08-18,1057899.9845627681
2005-08-19,1056308.2003167453
2005-08-22,1061070.709566289
2005-08-23,1060586.66333831
2005-08-24,1058127.7414382156
2005-08-25,1061182.0756776736
2005-08-26,1058766.8201349268
2005-08-29,1058120.961373269
2005-08-30,1057526.8143354678
2005-08-31,1066581.0367806745
2005-09-01,1075241.5663676101
2005-09-02,1076486.179108378
2005-09-06,1077564.1090835356
2005-09-07,1075347.233646668
2005-09-08,1075770.8749583312
2005-09-09,1081201.7833272214
2005-09-12,1078923.4582173263
2005-09-13,1076478.4895278753
2005-09-14,1078222.8125737396
2005-09-15,1079136.136483081
2005-09-16,1080098.8251731237
2005-09-19,1082998.8122579607
2005-09-20,1085319.5307787291
2005-09-21,1093366.993333893
2005-09-22,1089006.6572886163
2005-09-23,1084853.0313267612
2005-09-26,1087137.5651229986
2005-09-27,1083638.8912204625
2005-09-28,1092208.3501983667
2005-09-29,1095298.6205232874
2005-09-30,1092114.294140409
2005-10-03,1087248.43337678
2005-10-04,1087105.9790513061
2005-10-05,1082162.3773524195
2005-10-06,1081245.013943025
2005-10-07,1084810.4260386352
2005-10-10,1084245.5681591937
