Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,1002104.4368418821
2005-02-02,1005317.7959101596
2005-02-03,1003647.7204511985
2005-02-04,1013167.4002590273
2005-02-07,1016477.4850515588
2005-02-08,1015217.8963852974
2005-02-09,1017314.8153364547
2005-02-10,1017297.237428319
2005-02-11,1019445.8896151914
2005-02-14,1024565.4507161169
2005-02-15,1024976.387734842
2005-02-16,1020859.4000526331
2005-02-17,1020211.0185015389
2005-02-18,1018342.7529255257
2005-02-22,1018193.3421523357
2005-02-23,1016119.7979354952
2005-02-24,1019249.3209717093
2005-02-25,1026339.2310858612
2005-02-28,1026700.2632892395
2005-03-01,1025019.3165236281
2005-03-02,1023416.3379351405
2005-03-03,1025118.049785135
2005-03-04,1035765.2490635754
2005-03-07,1036867.8043541366
2005-03-08,1034389.6418007598
2005-03-09,1026184.58329291
2005-03-10,1023756.194186562
2005-03-11,1021942.5108406362
2005-03-14,1017979.3895021386
2005-03-15,1015277.5359884099
2005-03-16,1016130.2647457308
2005-03-17,1018001.0871364536
2005-03-18,1015223.649677373
2005-03-21,1011726.7989953698
2005-03-22,1006388.7866872279
2005-03-23,996615.2236066666
2005-03-24,996912.0673484127
2005-03-28,994269.9677423174
2005-03-29,990238.3508708312
2005-03-30,995892.739912481
2005-03-31,1001558.1504489703
2005-04-01,1004131.3671245548
2005-04-04,999308.0024269543
2005-04-05,1000819.4141510546
2005-04-06,1002833.673234251
2005-04-07,1006322.6794452167
2005-04-08,1005603.872281751
2005-04-11,1008018.0545852485
2005-04-12,1009853.5252715515
2005-04-13,1008940.6988442745
2005-04-14,999327.6127888125
2005-04-15,994972.790187068
2005-04-18,989203.4437657694
2005-04-19,1000467.4967280319
2005-04-20,997202.3860906716
2005-04-21,998397.8994766308
2005-04-22,1002612.4291131577
2005-04-25,1007117.4829326435
2005-04-26,1005352.8483679965
2005-04-27,1003631.3920402434
2005-04-28,1000852.8593078225
2005-04-29,1004432.8634667071
2005-05-02,1007126.7367127384
2005-05-03,1007460.3687529954
2005-05-04,1013923.4824259325
2005-05-05,1015680.1872676406
2005-05-06,1014915.8588211715
2005-05-09,1014420.0691958594
2005-05-10,1012204.0070679748
2005-05-11,1012652.3615606471
2005-05-12,1007744.1624943814
2005-05-13,1005327.8533820794
2005-05-16,1004584.6912100684
2005-05-17,1005543.3520594988
2005-05-18,1013465.946140596
2005-05-19,1017394.8778427435
2005-05-20,1015065.7657242953
2005-05-23,1022085.2983601408
2005-05-24,1024704.3746219623
2005-05-25,1021022.7256077201
