Exchange Date,Portfolio
2005-01-31,1000000.0
2005-02-01,1000814.0288167554
2005-02-02,1004869.6966528003
2005-02-03,998635.9615537971
2005-02-04,1002263.3811119338
2005-02-07,1002436.393017693
2005-02-08,999532.3824495708
2005-02-09,1000347.2088430964
2005-02-10,1008597.8056589338
2005-02-11,1014570.1577583706
2005-02-14,1023067.5908615774
2005-02-15,1024353.5965303285
2005-02-16,1021856.7216496166
2005-02-17,1024379.3646574279
2005-02-18,1026298.8907125929
2005-02-22,1034315.9313529615
2005-02-23,1030455.815971935
2005-02-24,1033339.340500301
2005-02-25,1040866.5782250128
2005-02-28,1044515.6778820558
2005-03-01,1040137.6814340407
2005-03-02,1039462.8485510155
2005-03-03,1038805.5269894614
2005-03-04,1049817.852167364
2005-03-07,1050249.9600876127
2005-03-08,1056207.5669417453
2005-03-09,1053609.0279751257
2005-03-10,1050307.258042457
2005-03-11,1053616.302126208
2005-03-14,1044312.8534423816
2005-03-15,1042677.9802511265
2005-03-16,1045496.1077240023
2005-03-17,1041003.9491045165
2005-03-18,1040533.1093331459
2005-03-21,1029369.5109707941
2005-03-22,1022912.9923009526
2005-03-23,1010460.0715257709
2005-03-24,1009957.583325491
2005-03-28,1009480.9697473253
2005-03-29,1004493.9436913867
2005-03-30,1008796.9598503881
2005-03-31,1014499.1687731937
2005-04-01,1013310.7207662263
2005-04-04,1006349.902509877
2005-04-05,1009074.926323194
2005-04-06,1012203.1019779453
2005-04-07,1016504.929897852
2005-04-08,1016550.1251134474
2005-04-11,1018405.8771660029
2005-04-12,1016925.9197140917
2005-04-13,1017859.2283850858
2005-04-14,1003298.5187128155
2005-04-15,996107.5854431
2005-04-18,991285.3315303605
2005-04-19,1006330.7937339302
2005-04-20,1005288.7898051009
2005-04-21,1006384.000921244
2005-04-22,1011282.7981923986
2005-04-25,1014569.0650139488
2005-04-26,1015781.4589432536
2005-04-27,1008523.8394895672
2005-04-28,1001762.9941446595
2005-04-29,1009483.9134671163
2005-05-02,1007652.9295277193
2005-05-03,1006509.8686882539
2005-05-04,1014935.3402745482
2005-05-05,1016589.640123815
2005-05-06,1014915.223357318
2005-05-09,1014341.4723777167
2005-05-10,1010310.7848142581
2005-05-11,1010861.8334356594
2005-05-12,1000055.3086068409
2005-05-13,993532.1764709965
2005-05-16,992159.9626015186
2005-05-17,992552.0670394981
2005-05-18,1000672.1452582226
2005-05-19,1004856.5641870485
2005-05-20,999566.1548407858
2005-05-23,1003812.5057691002
2005-05-24,1005809.1233287905
2005-05-25,1005389.0125500748
2005-05-26,1004977.101531237
2005-05-27,1010944.0936028948
2005-05-31,1005595.0978621892
2005-06-01,1008645.5233131971
2005-06-02,1018501.3041400255
2005-06-03,1019258.5124291903
2005-06-06,1021886.1231833166
2005-06-07,1020983.9234980447
2005-06-08,1021285.0234848505
2005-06-09,1017061.650753785
2005-06-10,1021631.0643307851
2005-06-13,1022610.3285897339
2005-06-14,1023901.5991257387
2005-06-15,1027931.4072707178
2005-06-16,1038346.167295601
2005-06-17,1047844.3319429826
2005-06-20,1046017.3959973449
2005-06-21,1047301.6541595606
2005-06-22,1047196.2287677904
2005-06-23,1045014.375702553
2005-06-24,1039956.1052762838
2005-06-27,1040461.2731467152
2005-06-28,1039158.5583421477
2005-06-29,1041033.5010359352
2005-06-30,1037662.6933386412
2005-07-01,1029659.4475463459
2005-07-05,1025015.9126979497
2005-07-06,1024164.6521707394
2005-07-07,1022221.5714242288
2005-07-08,1025283.9333356463
2005-07-11,1034057.79338937
2005-07-12,1040246.6084931772
2005-07-13,1035532.2138485512
2005-07-14,1034962.4678342117
2005-07-15,1033593.9943734375
2005-07-18,1034360.2006611766
2005-07-19,1032948.9672759471
2005-07-20,1038114.6741081818
2005-07-21,1046814.1780363207
2005-07-22,1047252.4508105328
2005-07-25,1042533.5251993677
2005-07-26,1038831.7655131347
2005-07-27,1044661.9386642226
2005-07-28,1052059.585852094
2005-07-29,1055004.7776085855
2005-08-01,1061406.1465782342
2005-08-02,1067179.4447417583
2005-08-03,1074503.751351676
2005-08-04,1072663.184532307
2005-08-05,1066612.1223964123
2005-08-08,1067016.8677089307
2005-08-09,1071111.376463659
2005-08-10,1081326.1489811705
2005-08-11,1093273.0086519208
2005-08-12,1092291.1655241689
2005-08-15,1090431.1867946829
2005-08-16,1090748.6260552322
2005-08-17,1083267.8696970236
2005-08-18,1076347.7402218767
2005-08-19,1073200.7856058828
2005-08-22,1082534.1706555167
2005-08-23,1079148.3191168094
2005-08-24,1073947.6296903645
2005-08-25,1077025.4699947014
2005-08-26,1074810.8042534392
2005-08-29,1071601.3182178924
2005-08-30,1065152.3334111904
2005-08-31,1076674.2171134423
2005-09-01,1094045.0845643466
2005-09-02,1097869.142901752
2005-09-06,1104635.76648542
2005-09-07,1106434.631557462
2005-09-08,1106961.1930082939
2005-09-09,1115827.2161700923
2005-09-12,1115264.2647015138
2005-09-13,1107674.046884767
2005-09-14,1113829.3578273284
2005-09-15,1120807.7522374955
2005-09-16,1127042.89738964
2005-09-19,1131210.3487125097
2005-09-20,1134453.2190765638
2005-09-21,1144642.0985325389
2005-09-22,1134826.7657217442
2005-09-23,1132549.5872911776
2005-09-26,1141294.5740091773
2005-09-27,1135041.3280971062
2005-09-28,1147016.3613666014
2005-09-29,1156310.8659502794
2005-09-30,1153518.345926222
2005-10-03,1149062.8136499343
2005-10-04,1147321.0320712351
2005-10-05,1134961.6583317951
2005-10-06,1132451.653286849
2005-10-07,1138211.761796011
2005-10-10,1136713.8947568554
2005-10-11,1139323.978192786
2005-10-12,1128786.775393255
2005-10-13,1123512.7681713242
2005-10-14,1124278.4803457207
2005-10-17,1130749.2364573434
2005-10-18,1121665.2196700121
2005-10-19,1113728.6998679426
2005-10-20,1104977.606941046
2005-10-21,1111759.615275298
2005-10-24,1116235.0592633798
2005-10-25,1126656.7742205518
